угандийский шиллинг;шиллинг;UGX;100 центов;цент
узбекский сум;сум;UZS;100 тийин;тийин
украинская гривна;гривна;UAH;100 копеек;копейка
уругвайское песо;песо;UYU;100 сентесимо;сентисимо
филиппинское песо;песо;PHP;100 сентаво;сентаво
джибутийский франк;франк;DJF;100 сантимов;сантим
франк КФА ЗАЭВС;франк;XOF;;
франк КФА ЦАВЭС;франк;XAF;;
английский фунт стерлингов,фунт стерлингов;фунт;GBP;100 пенсов;пенс
хорватская куна;куна;HRK;100 лип;лип
чешская крона;крона;CZK;;
чилийское песо;песо;CLP;;
шведская крона;крона;SEK;100 эре;эре
швейцарский франк;франк;CHF;100 сантимов;сантим
шри-ланкийская рупия;рупия;LKR;100 центов;цент
эстонская крона;крона;EEK;100 сентов;сент
эфиопский быр;быр;ETB;100 сантимов;сантим
южноафриканский рэнд;рэнд;ZAR;100 центов;цент
ямайский доллар;доллар;JMD;100 центов;цент
японская иена;иена;JPY;;
